Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
SUBARU WRX,2.4,4,SCV-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,NFJXJ02.4CZA,midsize car,3,19,25,21,4,No,419
SUBARU WRX,2.4,4,SCV-8,4WD,Gasoline,FA,T3B125,Federal Tier 3 Bin 125,NFJXJ02.4CZA,midsize car,3,19,25,21,4,No,419
TESLA Model 3,N/A,N/A,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NTSLV00.0L13,midsize car,10,138,126,132,10,Elite,0
TESLA Model 3,N/A,N/A,Auto-1,2WD,Electricity,CA,ZEV,California ZEV,NTSLV00.0L13,midsize car,10,138,126,132,10,Elite,0
TESLA Model 3 Long Range,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NTSLV00.0L23,midsize car,10,134,126,131,10,Elite,0
TESLA Model 3 Long Range,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NTSLV00.0L23,midsize car,10,134,126,131,10,Elite,0
TESLA Model 3 Performance,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NTSLV00.0L23,midsize car,10,118,107,113,10,Elite,0
TESLA Model 3 Performance,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NTSLV00.0L23,midsize car,10,118,107,113,10,Elite,0
TESLA Model S,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NTSLV00.0L2S,large car,10,124,115,120,10,Elite,0
TESLA Model S,N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NTSLV00.0L2S,large car,10,124,115,120,10,Elite,0
"TESLA Model S Plaid (19"" Wheels)",N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NTSLV00.0L3S,large car,10,119,112,116,10,Elite,0
"TESLA Model S Plaid (19"" Wheels)",N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NTSLV00.0L3S,large car,10,119,112,116,10,Elite,0
"TESLA Model S Plaid (21"" Wheels)",N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NTSLV00.0L3S,large car,10,102,99,101,10,Elite,0
"TESLA Model S Plaid (21"" Wheels)",N/A,N/A,Auto-1,4WD,Electricity,CA,ZEV,California ZEV,NTSLV00.0L3S,large car,10,102,99,101,10,Elite,0
TESLA Model X,N/A,N/A,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,NTSLV00.0L2X,standard SUV,10,107,97,102,10,Elite,0
