region,category,parameter,mode,powertrain,year,unit,value
Denmark,Historical,EV sales,Cars,BEV,2019,sales,5500
Denmark,Historical,EV sales,Cars,PHEV,2019,sales,3900
Denmark,Historical,EV sales,Cars,PHEV,2020,sales,18000
Denmark,Historical,EV sales,Cars,BEV,2020,sales,14000
Denmark,Historical,EV sales,Cars,BEV,2021,sales,25000
Denmark,Historical,EV sales,Cars,PHEV,2021,sales,41000
Finland,Historical,EV sales,Cars,BEV,2011,sales,30
Finland,Historical,EV sales,Cars,BEV,2012,sales,51
Finland,Historical,EV sales,Cars,PHEV,2012,sales,130
Finland,Historical,EV sales,Cars,PHEV,2013,sales,170
Finland,Historical,EV sales,Cars,BEV,2013,sales,50
Finland,Historical,EV sales,Cars,BEV,2014,sales,180
Finland,Historical,EV sales,Cars,PHEV,2014,sales,260
Finland,Historical,EV sales,Cars,PHEV,2015,sales,440
Finland,Historical,EV sales,Cars,BEV,2015,sales,240
Finland,Historical,EV sales,Cars,BEV,2016,sales,220
Finland,Historical,EV sales,Cars,PHEV,2016,sales,1200
Finland,Historical,EV sales,Cars,PHEV,2017,sales,2600
Finland,Historical,EV sales,Cars,BEV,2017,sales,500
Finland,Historical,EV sales,Cars,BEV,2018,sales,780
Finland,Historical,EV sales,Cars,PHEV,2018,sales,4900
Finland,Historical,EV sales,Cars,PHEV,2019,sales,6000
Finland,Historical,EV sales,Cars,BEV,2019,sales,1900
Finland,Historical,EV sales,Cars,BEV,2020,sales,4200
Finland,Historical,EV sales,Cars,PHEV,2020,sales,13000
Finland,Historical,EV sales,Cars,PHEV,2021,sales,20000
Finland,Historical,EV sales,Cars,BEV,2021,sales,10000
France,Historical,EV sales,Cars,BEV,2010,sales,190
France,Historical,EV sales,Cars,BEV,2011,sales,2600
France,Historical,EV sales,Cars,PHEV,2011,sales,96
France,Historical,EV sales,Cars,PHEV,2012,sales,600
France,Historical,EV sales,Cars,BEV,2012,sales,5700
France,Historical,EV sales,Cars,BEV,2013,sales,8800
France,Historical,EV sales,Cars,PHEV,2013,sales,830
France,Historical,EV sales,Cars,PHEV,2014,sales,2100
France,Historical,EV sales,Cars,BEV,2014,sales,11000
France,Historical,EV sales,Cars,BEV,2015,sales,17000
France,Historical,EV sales,Cars,PHEV,2015,sales,5700
France,Historical,EV sales,Cars,PHEV,2016,sales,7700
France,Historical,EV sales,Cars,BEV,2016,sales,22000
France,Historical,EV sales,Cars,BEV,2017,sales,26000
France,Historical,EV sales,Cars,PHEV,2017,sales,12000
France,Historical,EV sales,Cars,PHEV,2018,sales,16000
France,Historical,EV sales,Cars,BEV,2018,sales,31000
France,Historical,EV sales,Cars,BEV,2019,sales,43000
France,Historical,EV sales,Cars,PHEV,2019,sales,19000
France,Historical,EV sales,Cars,PHEV,2020,sales,75000
France,Historical,EV sales,Cars,BEV,2020,sales,110000
France,Historical,EV sales,Cars,BEV,2021,sales,170000
France,Historical,EV sales,Cars,PHEV,2021,sales,140000
Germany,Historical,EV sales,Cars,BEV,2010,sales,140
Germany,Historical,EV sales,Cars,BEV,2011,sales,1400
Germany,Historical,EV sales,Cars,PHEV,2011,sales,240
Germany,Historical,EV sales,Cars,PHEV,2012,sales,1200
Germany,Historical,EV sales,Cars,BEV,2012,sales,2200
Germany,Historical,EV sales,Cars,BEV,2013,sales,5300
Germany,Historical,EV sales,Cars,PHEV,2013,sales,1600
Germany,Historical,EV sales,Cars,PHEV,2014,sales,4400
Germany,Historical,EV sales,Cars,BEV,2014,sales,8300
Germany,Historical,EV sales,Cars,BEV,2015,sales,12000
Germany,Historical,EV sales,Cars,PHEV,2015,sales,11000
Germany,Historical,EV sales,Cars,PHEV,2016,sales,13000
Germany,Historical,EV sales,Cars,BEV,2016,sales,11000
Germany,Historical,EV sales,Cars,BEV,2017,sales,25000
Germany,Historical,EV sales,Cars,PHEV,2017,sales,29000
Germany,Historical,EV sales,Cars,PHEV,2018,sales,31000
Germany,Historical,EV sales,Cars,BEV,2018,sales,36000
Germany,Historical,EV sales,Cars,BEV,2019,sales,63000
Germany,Historical,EV sales,Cars,PHEV,2019,sales,45000
Germany,Historical,EV sales,Cars,PHEV,2020,sales,200000
Germany,Historical,EV sales,Cars,BEV,2020,sales,190000
Germany,Historical,EV sales,Cars,BEV,2021,sales,360000
Germany,Historical,EV sales,Cars,PHEV,2021,sales,330000
Greece,Historical,EV sales,Cars,BEV,2013,sales,3
Greece,Historical,EV sales,Cars,BEV,2014,sales,39
Greece,Historical,EV sales,Cars,BEV,2015,sales,55
Greece,Historical,EV sales,Cars,PHEV,2015,sales,22
Greece,Historical,EV sales,Cars,PHEV,2016,sales,56
Greece,Historical,EV sales,Cars,BEV,2016,sales,41
Greece,Historical,EV sales,Cars,BEV,2017,sales,53
