county,manufacturer,model,no_of_model_sold
BAKER,Toyota,Prius Plug-in Hybrid,1
BAKER,Subaru,Crosstrek,1
BAKER,Kia,Sorento Plug-In Hybrid,1
BAKER,Mercedes-Benz,EQS,1
BAKER,Chrysler,Pacifica Hybrid,1
BAKER,Toyota,RAV4 Prime,1
BAKER,Ford,Mustang Mach-E,2
BAKER,Smart,fortwo electric drive,1
BAKER,Tesla,Model S,4
BAKER,Tesla,Model 3,2
BAKER,Toyota,Prius Prime,4
BAKER,Ford,Escape Plug-In Hybrid,1
BAKER,Volvo,XC60,1
BAKER,Tesla,Model Y,1
BAKER,Chevrolet,Spark EV,1
BAKER,FIAT,500e,1
BAKER,Volvo,XC90,1
BAKER,Kia,Niro Plug-In Hybrid,1
BAKER,Chevrolet,Bolt EV,1
BAKER,Tesla,Model X,1
BAKER,Chevrolet,Volt,1
BAKER,Hyundai,SANTA FE Plug-In Hybrid,1
BAKER,Honda,Clarity Plug-In Hybrid,1
BENTON,Rivian,R1T,1
BENTON,Kia,EV6,7
BENTON,Subaru,Crosstrek,14
BENTON,Tesla,Model 3,207
BENTON,Chrysler,Pacifica Hybrid,23
BENTON,MINI,Hardtop 2 Door,4
BENTON,Audi,A3 Sportback e-tron,4
BENTON,Honda,Clarity Electric,2
BENTON,Honda,Clarity Plug-In Hybrid,31
BENTON,Hyundai,IONIQ Electric,3
BENTON,EZGO,UNKNOWN,1
BENTON,ZERO,UNKNOWN,2
BENTON,Nissan,LEAF,108
BENTON,BMW,X5,11
BENTON,Volkswagen,e-Golf,12
BENTON,Audi,e-tron,5
BENTON,Kia,Optima Plug-In Hybrid,1
BENTON,Kia,Niro Plug-In Hybrid,10
BENTON,Mitsubishi,i-MiEV,5
BENTON,Tesla,Model Y,104
BENTON,Volvo,XC40,8
BENTON,Toyota,RAV4 Prime,80
BENTON,Ford,Focus,2
BENTON,Hyundai,IONIQ Plug-in Hybrid,9
BENTON,Toyota,Prius Prime,111
BENTON,Ford,C-MAX Energi,29
BENTON,Chevrolet,Spark EV,10
BENTON,Jeep,Wrangler Unlimited,9
BENTON,Ford,TH!NK,6
BENTON,BMW,3 Series,3
BENTON,Chevrolet,Bolt EV,99
BENTON,BMW,X3,3
BENTON,Tesla,Model X,39
BENTON,Kia,Soul EV,2
BENTON,Smart,fortwo electric drive,3
BENTON,Volvo,V60,1
BENTON,Porsche,Cayenne,1
BENTON,Polestar,2,2
BENTON,Lincoln,Aviator,2
BENTON,FIAT,500e,7
BENTON,Chevrolet,Bolt EUV,5
BENTON,POLS,UNKNOWN,1
BENTON,Land Rover,Range Rover Sport,1
BENTON,Volvo,C40,2
BENTON,Lexus,NX 450h+,1
BENTON,Volvo,XC90,8
BENTON,Volkswagen,ID.4,14
BENTON,ZERO,S,1
BENTON,HCKC,UNKNOWN,1
BENTON,ZONG,UNKNOWN,1
BENTON,Porsche,Taycan,1
BENTON,Volvo,XC60,12
BENTON,Ford,Escape Plug-In Hybrid,6
BENTON,AMIC,UNKNOWN,4
BENTON,Hyundai,SANTA FE Plug-In Hybrid,6
BENTON,Toyota,Prius Plug-in Hybrid,30
BENTON,TOMB,UNKNOWN,1
BENTON,ZENN,UNKNOWN,1
BENTON,Chevrolet,Volt,39
BENTON,Audi,Q5,8
BENTON,Kia,Sorento Plug-In Hybrid,2
BENTON,UBCO,UNKNOWN,1
BENTON,MAHIN,UNKNOWN,1
BENTON,ZERO,RS,1
BENTON,GEM,UNKNOWN,1
BENTON,Hyundai,IONIQ 5,2
BENTON,Kia,Niro EV,24
BENTON,MINI,Countryman Plug-in Hybrid,1
BENTON,Hyundai,SONATA Plug-in Hybrid,2
BENTON,ZERO,SR,1
BENTON,Hyundai,KONA Electric,26
BENTON,Tesla,Model S,50
BENTON,BMW,i3,16
BENTON,Mitsubishi,Outlander PHEV,2
BENTON,Hyundai,TUCSON Plug-in Hybrid,1
BENTON,Ford,Fusion Energi,18
BENTON,Ford,Mustang Mach-E,27
CLACKAMAS,BMW,7 Series,4
CLACKAMAS,Toyota,bZ4X,1
CLACKAMAS,GMC,HUMMER EV,1
CLACKAMAS,Lincoln,Corsair,1
CLACKAMAS,Nissan,LEAF,518
CLACKAMAS,BMW,X3,10
CLACKAMAS,Mercedes-Benz,GLE,4
CLACKAMAS,Porsche,Taycan,26
CLACKAMAS,EZGO,UNKNOWN,1
CLACKAMAS,Ford,Focus,15
CLACKAMAS,Ford,TH!NK,7
CLACKAMAS,Smart,EQ fortwo,1
CLACKAMAS,Hyundai,SANTA FE Plug-In Hybrid,20
CLACKAMAS,Volkswagen,ID.4,70
CLACKAMAS,Jaguar,I-PACE,13
CLACKAMAS,Mercedes-Benz,EQS,5
CLACKAMAS,Ford,Fusion Energi,96
CLACKAMAS,MAHI,UNKNOWN,1
CLACKAMAS,ZERO,FXS,3
CLACKAMAS,AMIC,UNKNOWN,4
CLACKAMAS,GENU,UNKNOWN,2
CLACKAMAS,BMW,i3,80
CLACKAMAS,Kia,Niro Plug-In Hybrid,49
CLACKAMAS,Kia,Niro EV,117
CLACKAMAS,Honda,Clarity Electric,20
CLACKAMAS,Volvo,S90,1
CLACKAMAS,Porsche,Panamera,7
CLACKAMAS,Volvo,XC90,62
CLACKAMAS,Kia,EV6,37
CLACKAMAS,Hyundai,IONIQ Plug-in Hybrid,33
CLACKAMAS,Volkswagen,e-Golf,73
CLACKAMAS,Tesla,Model Y,845
CLACKAMAS,Mercedes-Benz,C-Class,1
CLACKAMAS,Porsche,Cayenne,14
CLACKAMAS,Audi,e-tron,72
CLACKAMAS,Chevrolet,Volt,152
CLACKAMAS,MINI,Hardtop 2 Door,18
CLACKAMAS,ZERO,SRF,1
CLACKAMAS,Volvo,V60,2
CLACKAMAS,ZERO,DSR,3
CLACKAMAS,Subaru,Crosstrek,52
CLACKAMAS,CLUB,UNKNOWN,1
CLACKAMAS,Chevrolet,Spark EV,31
CLACKAMAS,ZERO,UNKNOWN,4
CLACKAMAS,Jeep,Wrangler Unlimited,82
CLACKAMAS,Volvo,XC60,39
CLACKAMAS,Kia,Optima Plug-In Hybrid,7
CLACKAMAS,FIAT,500e,21
CLACKAMAS,Chevrolet,Bolt EV,256
CLACKAMAS,Smart,fortwo electric drive,13
CLACKAMAS,Honda,Clarity Plug-In Hybrid,60
CLACKAMAS,TESL,UNKNOWN,1
CLACKAMAS,Toyota,RAV4 Prime,185
CLACKAMAS,Ford,F-150 Lightning,1
CLACKAMAS,BMW,X5,96
CLACKAMAS,Mercedes-Benz,B-Class,7
CLACKAMAS,Ford,Mustang Mach-E,105
CLACKAMAS,Rivian,R1T,6
CLACKAMAS,Honda,Accord Plug-In,1
CLACKAMAS,Hyundai,IONIQ 5,32
CLACKAMAS,ZERO,FX,2
CLACKAMAS,Ford,Escape Plug-In Hybrid,27
CLACKAMAS,MINI,Countryman Plug-in Hybrid,15
CLACKAMAS,Volvo,C40,5
CLACKAMAS,Tesla,Model X,271
CLACKAMAS,Land Rover,Range Rover,1
CLACKAMAS,Tesla,Model 3,1190
CLACKAMAS,Toyota,Prius Prime,264
CLACKAMAS,Kia,Soul EV,13
CLACKAMAS,Mercedes-Benz,GLC,24
CLACKAMAS,Mitsubishi,Outlander PHEV,14
CLACKAMAS,CHNA,UNKNOWN,1
CLACKAMAS,Volvo,XC40,26
CLACKAMAS,Polestar,2,21
CLACKAMAS,Audi,Q5,61
CLACKAMAS,Hyundai,TUCSON Plug-in Hybrid,9
CLACKAMAS,Tesla,Model S,361
CLACKAMAS,POLS,UNKNOWN,1
CLACKAMAS,BMW,3 Series,17
CLACKAMAS,Land Rover,Range Rover Sport,7
CLACKAMAS,Audi,e-tron Sportback,9
CLACKAMAS,Lexus,NX 450h+,8
CLACKAMAS,Toyota,Prius Plug-in Hybrid,36
CLACKAMAS,Audi,e-tron GT,3
CLACKAMAS,Mitsubishi,i-MiEV,3
CLACKAMAS,Hyundai,IONIQ Electric,65
CLACKAMAS,Audi,A7,3
CLACKAMAS,BMW,5 Series,21
CLACKAMAS,Hyundai,SONATA Plug-in Hybrid,14
CLACKAMAS,YMSK,UNKNOWN,1
CLACKAMAS,Bentley,Bentayga,1
CLACKAMAS,HD,LIV,1
CLACKAMAS,ZERO,S,1
CLACKAMAS,HD,ELW,1
CLACKAMAS,Lincoln,Aviator,6
CLACKAMAS,MILES,UNKNOWN,1
CLACKAMAS,Chevrolet,Bolt EUV,13
CLACKAMAS,Hyundai,KONA Electric,103
CLACKAMAS,Ford,E-Transit Cargo,4
CLACKAMAS,Kia,Sorento Plug-In Hybrid,21
CLACKAMAS,Audi,A3 Sportback e-tron,20
CLACKAMAS,Tesla,Roadster,2
CLACKAMAS,Ford,C-MAX Energi,71
CLACKAMAS,Chrysler,Pacifica Hybrid,115
CLACKAMAS,BMW,i8,6
CLACKAMAS,Cadillac,CT6 PLUG-IN Hybrid,2
CLATSOP,Tesla,Model 3,36
CLATSOP,Chevrolet,Bolt EV,13
CLATSOP,Smart,fortwo electric drive,1
CLATSOP,Tesla,Model Y,26
CLATSOP,Nissan,LEAF,12
CLATSOP,Ford,Escape Plug-In Hybrid,3
CLATSOP,Subaru,Crosstrek,6
CLATSOP,Volvo,XC60,2
CLATSOP,Jeep,Wrangler Unlimited,3
CLATSOP,Toyota,Prius Plug-in Hybrid,2
CLATSOP,Ford,Fusion Energi,4
CLATSOP,Toyota,RAV4 Prime,23
CLATSOP,Mercedes-Benz,GLC,1
CLATSOP,Hyundai,KONA Electric,5
CLATSOP,BMW,3 Series,1
CLATSOP,Ford,Mustang Mach-E,10
CLATSOP,Ford,C-MAX Energi,5
CLATSOP,Tesla,Model S,12
CLATSOP,Audi,e-tron,2
CLATSOP,Chevrolet,Volt,14
CLATSOP,MINI,Hardtop 2 Door,1
CLATSOP,Hyundai,SANTA FE Plug-In Hybrid,2
CLATSOP,Audi,Q5,2
CLATSOP,Audi,A3 Sportback e-tron,1
CLATSOP,Toyota,Prius Prime,33
CLATSOP,Volvo,XC90,1
CLATSOP,FIAT,500e,1
CLATSOP,AMIC,UNKNOWN,1
CLATSOP,Hyundai,IONIQ Plug-in Hybrid,1
CLATSOP,Chevrolet,Spark EV,1
CLATSOP,Ford,TH!NK,1
CLATSOP,Hyundai,IONIQ Electric,1
CLATSOP,Kia,EV6,4
CLATSOP,HDKP,UNKNOWN,1
CLATSOP,Kia,Niro Plug-In Hybrid,3
CLATSOP,Porsche,Cayenne,1
CLATSOP,Kia,Niro EV,6
CLATSOP,BMW,i3,1
CLATSOP,Porsche,Taycan,1
CLATSOP,Tesla,Model X,8
CLATSOP,Kia,Sorento Plug-In Hybrid,2
CLATSOP,BMW,X5,3
CLATSOP,Chrysler,Pacifica Hybrid,9
CLATSOP,BMW,5 Series,1
CLATSOP,Hyundai,IONIQ 5,1
CLATSOP,Rivian,R1T,1
CLATSOP,Polestar,2,1
CLATSOP,Volvo,XC40,2
COLUMBIA,Jeep,Wrangler Unlimited,5
COLUMBIA,Nissan,LEAF,30
COLUMBIA,Subaru,Crosstrek,1
COLUMBIA,BMW,X5,2
COLUMBIA,Volvo,XC60,1
COLUMBIA,ELCY,ONE,1
COLUMBIA,MINI,Hardtop 2 Door,2
COLUMBIA,Chevrolet,Spark EV,2
COLUMBIA,Ford,Fusion Energi,7
COLUMBIA,Ford,C-MAX Energi,4
COLUMBIA,Hyundai,IONIQ Electric,3
COLUMBIA,Smart,fortwo electric drive,2
COLUMBIA,JBLC,UNKNOWN,1
COLUMBIA,POLAR,UNKNOWN,3
COLUMBIA,Chevrolet,Volt,31
COLUMBIA,GENZ,UNKNOWN,1
COLUMBIA,Chrysler,Pacifica Hybrid,17
COLUMBIA,Ford,Mustang Mach-E,12
COLUMBIA,Rivian,R1T,1
COLUMBIA,Toyota,RAV4 Prime,9
COLUMBIA,Honda,Clarity Electric,2
COLUMBIA,Ford,F-150 Lightning,1
COLUMBIA,Audi,e-tron,2
COLUMBIA,Tesla,Model 3,60
COLUMBIA,Hyundai,IONIQ Plug-in Hybrid,3
COLUMBIA,Toyota,Prius Prime,23
COLUMBIA,Kia,Niro EV,8
COLUMBIA,Chevrolet,Bolt EV,37
COLUMBIA,Hyundai,SONATA Plug-in Hybrid,1
COLUMBIA,Tesla,Model X,5
COLUMBIA,Ford,Escape Plug-In Hybrid,1
COLUMBIA,Kia,Niro Plug-In Hybrid,4
COLUMBIA,Mercedes-Benz,GLC,2
COLUMBIA,GEM,UNKNOWN,1
COLUMBIA,Hyundai,SANTA FE Plug-In Hybrid,2
COLUMBIA,Kia,EV6,4
COLUMBIA,Volvo,C40,1
COLUMBIA,BMW,5 Series,2
COLUMBIA,Kia,Sorento Plug-In Hybrid,1
COLUMBIA,Hyundai,KONA Electric,9
COLUMBIA,Toyota,Prius Plug-in Hybrid,1
COLUMBIA,Tesla,Model Y,26
COLUMBIA,Volkswagen,ID.4,6
COLUMBIA,Porsche,Panamera,1
COLUMBIA,Volkswagen,e-Golf,2
COLUMBIA,Tesla,Model S,11
COLUMBIA,Honda,Clarity Plug-In Hybrid,7
COLUMBIA,Audi,A7,1
COLUMBIA,Mitsubishi,Outlander PHEV,3
COLUMBIA,ZERO,SRF,1
COOS,BMW,X5,1
COOS,AECI,UNKNOWN,2
COOS,Hyundai,TUCSON Plug-in Hybrid,3
COOS,Hyundai,KONA Electric,1
COOS,Ford,Mustang Mach-E,2
COOS,Chrysler,Pacifica Hybrid,10
COOS,Tesla,Model X,9
COOS,ZERO,UNKNOWN,1
COOS,Tesla,Model Y,19
COOS,Porsche,Cayenne,1
COOS,Lincoln,Aviator,1
COOS,Audi,e-tron Sportback,1
COOS,Ford,Focus,1
COOS,Chevrolet,Volt,26
COOS,Ford,Fusion Energi,8
COOS,Ford,C-MAX Energi,4
COOS,Audi,A3 Sportback e-tron,1
COOS,UBCO,UNKNOWN,1
COOS,Toyota,RAV4 Prime,13
COOS,Kia,Niro EV,1
COOS,Subaru,Crosstrek,2
COOS,AMIC,UNKNOWN,2
COOS,Volkswagen,ID.4,1
COOS,Toyota,Prius Plug-in Hybrid,5
COOS,Honda,Clarity Plug-In Hybrid,2
COOS,Chevrolet,Spark EV,3
COOS,Hyundai,SANTA FE Plug-In Hybrid,1
COOS,Audi,Q5,1
COOS,Mercedes-Benz,GLC,1
COOS,Cadillac,CT6 PLUG-IN Hybrid,1
COOS,Chevrolet,Bolt EV,18
COOS,Toyota,Prius Prime,28
COOS,BMW,5 Series,2
COOS,Kia,Niro Plug-In Hybrid,1
COOS,Tesla,Model 3,21
COOS,BMW,i8,1
COOS,Honda,Clarity Electric,1
COOS,BMW,X3,1
COOS,Jeep,Wrangler Unlimited,6
COOS,Nissan,LEAF,5
COOS,BMW,i3,1
COOS,Tesla,Model S,11
COOS,Smart,fortwo electric drive,1
COOS,ZERO,FXS,1
COOS,Volvo,XC90,1
COOS,Ford,Escape Plug-In Hybrid,2
COOS,BMW,3 Series,2
COOS,Kia,EV6,4
COOS,Chevrolet,Bolt EUV,1
COOS,Volvo,V60,1
CROOK,Ford,Fusion Energi,2
CROOK,TOMB,UNKNOWN,2
CROOK,Mercedes-Benz,GLC,1
CROOK,ZERO,UNKNOWN,1
CROOK,BMW,X3,1
CROOK,ZERO,DS,1
CROOK,BMW,X5,2
CROOK,Jeep,Wrangler Unlimited,3
CROOK,Chevrolet,Volt,7
CROOK,Tesla,Model Y,12
CROOK,Tesla,Model 3,18
CROOK,Ford,C-MAX Energi,3
CROOK,Kia,Niro EV,1
CROOK,Kia,EV6,2
CROOK,Kia,Niro Plug-In Hybrid,2
CROOK,Toyota,Prius Prime,5
CROOK,Volvo,C40,1
CROOK,Volvo,XC90,2
CROOK,Volkswagen,ID.4,1
CROOK,Subaru,Crosstrek,1
CROOK,Porsche,Cayenne,2
CROOK,Tesla,Model X,2
CROOK,Ford,Mustang Mach-E,4
CROOK,Toyota,RAV4 Prime,4
CROOK,Smart,fortwo electric drive,1
CROOK,Audi,Q5,1
CROOK,ZERO,FXP,1
CROOK,Porsche,Taycan,1
CROOK,Tesla,Model S,6
CROOK,Jaguar,I-PACE,1
CROOK,Nissan,LEAF,4
CROOK,Honda,Clarity Plug-In Hybrid,2
CROOK,Kia,Sorento Plug-In Hybrid,1
CROOK,Ford,Escape Plug-In Hybrid,1
CROOK,Chrysler,Pacifica Hybrid,2
CROOK,Audi,e-tron,2
CROOK,Chevrolet,Bolt EV,2
CURRY,Kia,Niro EV,2
CURRY,Chevrolet,Bolt EV,4
CURRY,Chrysler,Pacifica Hybrid,2
CURRY,Toyota,RAV4 Prime,9
CURRY,ZERO,SR,1
CURRY,Volkswagen,e-Golf,1
CURRY,Toyota,Prius Prime,15
CURRY,Tesla,Model Y,14
CURRY,Toyota,Prius Plug-in Hybrid,2
CURRY,Subaru,Crosstrek,2
CURRY,Nissan,LEAF,3
CURRY,Lexus,NX 450h+,1
CURRY,Honda,Clarity Plug-In Hybrid,5
CURRY,Tesla,Model 3,23
CURRY,Ford,Fusion Energi,2
CURRY,Kia,Sorento Plug-In Hybrid,1
CURRY,Lincoln,Corsair,1
CURRY,Ford,Escape Plug-In Hybrid,1
CURRY,ZERO,UNKNOWN,1
CURRY,Hyundai,KONA Electric,2
CURRY,Volvo,XC90,2
CURRY,Volkswagen,ID.4,1
CURRY,Ford,C-MAX Energi,3
CURRY,Mercedes-Benz,GLC,1
CURRY,Tesla,Model S,5
CURRY,Chevrolet,Bolt EUV,1
CURRY,Jeep,Wrangler Unlimited,3
CURRY,Tesla,Model X,3
CURRY,Chevrolet,Spark EV,5
CURRY,Porsche,Taycan,2
CURRY,BMW,X3,2
CURRY,BMW,X5,1
CURRY,Chevrolet,Volt,18
CURRY,Ford,Mustang Mach-E,3
CURRY,BMW,5 Series,1
DESCHUTES,Mercedes-Benz,GLC,3
DESCHUTES,Toyota,Prius Plug-in Hybrid,13
DESCHUTES,ZERO,FXS,1
DESCHUTES,Ferrari,SF90 Stradale,1
DESCHUTES,Volvo,XC40,26
DESCHUTES,Kia,Niro EV,28
DESCHUTES,HDGC,UNKNOWN,1
DESCHUTES,Ford,C-MAX Energi,11
DESCHUTES,Polestar,2,7
DESCHUTES,Ford,Focus,4
DESCHUTES,BMW,X5,65
DESCHUTES,Lexus,NX 450h+,2
DESCHUTES,Mitsubishi,Outlander PHEV,6
DESCHUTES,Hyundai,IONIQ Plug-in Hybrid,7
DESCHUTES,Ford,Escape Plug-In Hybrid,3
DESCHUTES,Chevrolet,Spark EV,11
DESCHUTES,Smart,EQ fortwo,1
DESCHUTES,Nissan,LEAF,118
DESCHUTES,Porsche,918 Spyder,1
DESCHUTES,Ford,F-150 Lightning,4
DESCHUTES,Chevrolet,Bolt EV,66
DESCHUTES,BMW,iX,1
DESCHUTES,Hyundai,KONA Electric,35
DESCHUTES,ENRG,UNKNOWN,1
DESCHUTES,Hyundai,TUCSON Plug-in Hybrid,5
DESCHUTES,Land Rover,Range Rover,1
DESCHUTES,VESP,UNKNOWN,2
DESCHUTES,BMW,i4,1
DESCHUTES,Porsche,Taycan,19
DESCHUTES,Ford,Fusion Energi,22
DESCHUTES,Kia,Niro Plug-In Hybrid,20
DESCHUTES,Audi,e-tron,29
DESCHUTES,TOMB,UNKNOWN,1
DESCHUTES,Audi,A3 Sportback e-tron,7
DESCHUTES,MINI,Hardtop 2 Door,3
DESCHUTES,GEM,UNKNOWN,1
DESCHUTES,Chrysler,Pacifica Hybrid,12
DESCHUTES,Lincoln,Corsair,1
DESCHUTES,GENU,UNKNOWN,3
DESCHUTES,BMW,X3,26
DESCHUTES,Lincoln,Aviator,2
DESCHUTES,Chevrolet,Volt,41
DESCHUTES,ZERO,FXE,1
DESCHUTES,Audi,e-tron Sportback,9
DESCHUTES,Cadillac,ELR,1
DESCHUTES,Honda,Clarity Plug-In Hybrid,15
DESCHUTES,Hyundai,SANTA FE Plug-In Hybrid,15
DESCHUTES,Mercedes-Benz,GLE,1
DESCHUTES,Hyundai,IONIQ Electric,8
DESCHUTES,Toyota,Prius Prime,79
DESCHUTES,Tesla,Model 3,282
DESCHUTES,POLS,UNKNOWN,3
DESCHUTES,ALTM,UNKNOWN,2
DESCHUTES,BMW,3 Series,4
DESCHUTES,BMW,i3,12
DESCHUTES,AMIC,UNKNOWN,2
DESCHUTES,Volvo,C40,5
DESCHUTES,AECI,M3,1
DESCHUTES,Kia,Sorento Plug-In Hybrid,13
DESCHUTES,Volkswagen,e-Golf,14
DESCHUTES,UBCO,UNKNOWN,2
DESCHUTES,MINI,Countryman Plug-in Hybrid,3
DESCHUTES,Tesla,Model Y,319
DESCHUTES,Volvo,S60,6
DESCHUTES,Jeep,Wrangler Unlimited,69
DESCHUTES,Tesla,Model X,86
DESCHUTES,Tesla,Model S,88
DESCHUTES,Kia,EV6,22
DESCHUTES,Land Rover,Range Rover Sport,2
DESCHUTES,Jaguar,I-PACE,2
DESCHUTES,Kia,Soul EV,7
DESCHUTES,Volvo,V60,1
DESCHUTES,Smart,fortwo electric drive,4
DESCHUTES,Audi,Q5,45
DESCHUTES,Volkswagen,ID.4,20
DESCHUTES,GARI,UNKNOWN,2
DESCHUTES,Porsche,Panamera,2
DESCHUTES,Ford,Mustang Mach-E,52
DESCHUTES,Volvo,XC90,31
DESCHUTES,Hyundai,IONIQ 5,5
DESCHUTES,Subaru,Crosstrek,55
DESCHUTES,ZERO,UNKNOWN,7
DESCHUTES,BMW,5 Series,9
DESCHUTES,BMW,i8,4
DESCHUTES,ZERO,SR/,2
DESCHUTES,Chevrolet,Bolt EUV,4
DESCHUTES,Porsche,Cayenne,15
DESCHUTES,Rivian,R1T,5
DESCHUTES,Volvo,XC60,51
DESCHUTES,ZHEJ,2X2,1
DESCHUTES,Toyota,RAV4 Prime,118
DESCHUTES,Lucid,Air,1
DOUGLAS,Hyundai,SANTA FE Plug-In Hybrid,2
DOUGLAS,Toyota,Prius Plug-in Hybrid,6
DOUGLAS,Smart,EQ fortwo,1
DOUGLAS,Mitsubishi,Outlander PHEV,2
DOUGLAS,Volvo,XC90,2
DOUGLAS,Jeep,Wrangler Unlimited,8
DOUGLAS,Honda,Clarity Plug-In Hybrid,8
DOUGLAS,Chevrolet,Volt,19
DOUGLAS,Audi,Q5,1
DOUGLAS,Ford,Fusion Energi,11
DOUGLAS,Smart,fortwo electric drive,1
DOUGLAS,Volvo,XC40,1
DOUGLAS,Ford,C-MAX Energi,4
DOUGLAS,Nissan,LEAF,14
DOUGLAS,Toyota,Prius Prime,41
DOUGLAS,Ford,Mustang Mach-E,6
DOUGLAS,BMW,X3,1
DOUGLAS,UBCO,UNKNOWN,3
DOUGLAS,BMW,3 Series,1
DOUGLAS,Ford,TH!NK,1
DOUGLAS,Volkswagen,ID.4,4
DOUGLAS,Hyundai,SONATA Plug-in Hybrid,2
DOUGLAS,Tesla,Model Y,39
DOUGLAS,Kia,Sorento Plug-In Hybrid,3
DOUGLAS,AMIC,UNKNOWN,1
DOUGLAS,Subaru,Crosstrek,3
DOUGLAS,Porsche,Taycan,1
DOUGLAS,Tesla,Model S,13
DOUGLAS,Chevrolet,Bolt EUV,1
DOUGLAS,Tesla,Model X,8
DOUGLAS,Tesla,Model 3,41
DOUGLAS,BMW,5 Series,1
DOUGLAS,Ford,Escape Plug-In Hybrid,5
DOUGLAS,BMW,X5,2
DOUGLAS,Kia,Niro Plug-In Hybrid,2
DOUGLAS,Chevrolet,Spark EV,3
DOUGLAS,Volvo,XC60,1
DOUGLAS,Chevrolet,Bolt EV,20
DOUGLAS,Kia,Niro EV,9
DOUGLAS,POLS,UNKNOWN,1
DOUGLAS,Kia,Soul EV,1
DOUGLAS,Chrysler,Pacifica Hybrid,13
DOUGLAS,Toyota,RAV4 Prime,21
DOUGLAS,HDGC,UNKNOWN,1
DOUGLAS,Hyundai,KONA Electric,4
GILLIAM,BMW,X3,1
GILLIAM,Tesla,Model 3,2
GILLIAM,Toyota,Prius Prime,1
GRANT,Ford,C-MAX Energi,1
GRANT,Tesla,Model X,1
GRANT,Toyota,Prius Prime,1
GRANT,Tesla,Model 3,1
HARNEY,Chevrolet,Volt,3
HARNEY,Toyota,Prius Plug-in Hybrid,1
HARNEY,Hyundai,SANTA FE Plug-In Hybrid,1
HARNEY,Kia,Niro Plug-In Hybrid,1
HARNEY,Kia,Soul EV,1
HARNEY,Ford,C-MAX Energi,1
HARNEY,Kia,Niro EV,1
HARNEY,Tesla,Model 3,1
HOOD RIVER,Kia,Niro Plug-In Hybrid,3
HOOD RIVER,Volvo,XC60,3
HOOD RIVER,BMW,X5,1
HOOD RIVER,Smart,fortwo electric drive,2
HOOD RIVER,Nissan,LEAF,17
HOOD RIVER,Ford,TH!NK,1
HOOD RIVER,Kia,Soul EV,1
HOOD RIVER,Porsche,Cayenne,1
HOOD RIVER,Chevrolet,Spark EV,1
HOOD RIVER,Volvo,XC90,3
HOOD RIVER,Kia,EV6,1
HOOD RIVER,Tesla,Model 3,53
HOOD RIVER,Subaru,Crosstrek,2
HOOD RIVER,Polestar,2,1
HOOD RIVER,Volkswagen,ID.4,8
HOOD RIVER,Audi,e-tron,5
HOOD RIVER,FIAT,500e,3
HOOD RIVER,Volvo,C40,1
HOOD RIVER,Chevrolet,Bolt EV,25
HOOD RIVER,Audi,Q5,2
HOOD RIVER,Tesla,Model Y,47
HOOD RIVER,Hyundai,IONIQ Plug-in Hybrid,1
HOOD RIVER,Jaguar,I-PACE,1
HOOD RIVER,Hyundai,KONA Electric,5
HOOD RIVER,Kia,Sorento Plug-In Hybrid,1
HOOD RIVER,BMW,i8,1
HOOD RIVER,Ford,Escape Plug-In Hybrid,1
HOOD RIVER,Porsche,Panamera,1
HOOD RIVER,Chevrolet,Volt,5
HOOD RIVER,Toyota,Prius Prime,12
HOOD RIVER,BMW,i3,3
HOOD RIVER,Ford,Mustang Mach-E,7
HOOD RIVER,Toyota,Prius Plug-in Hybrid,2
HOOD RIVER,Tesla,Model S,15
HOOD RIVER,Volkswagen,e-Golf,1
HOOD RIVER,Kia,Niro EV,5
HOOD RIVER,AMIC,UNKNOWN,2
HOOD RIVER,Honda,Clarity Plug-In Hybrid,1
HOOD RIVER,Ford,C-MAX Energi,4
HOOD RIVER,Volvo,XC40,3
HOOD RIVER,Mitsubishi,Outlander PHEV,1
HOOD RIVER,Chrysler,Pacifica Hybrid,5
HOOD RIVER,Hyundai,IONIQ Electric,1
HOOD RIVER,Hyundai,IONIQ 5,3
HOOD RIVER,Tesla,Model X,2
HOOD RIVER,Toyota,RAV4 Prime,23
HOOD RIVER,Ford,Focus,1
HOOD RIVER,Jeep,Wrangler Unlimited,2
HOOD RIVER,MINI,Countryman Plug-in Hybrid,2
HOOD RIVER,Ford,Fusion Energi,4
HOOD RIVER,BMW,X3,1
JACKSON,Hyundai,SANTA FE Plug-In Hybrid,9
JACKSON,ACGC,UNKNOWN,1
JACKSON,ASMBL,UNKNOWN,1
JACKSON,Jeep,Wrangler Unlimited,28
JACKSON,Volvo,XC90,11
JACKSON,BMW,3 Series,6
JACKSON,KTM,UNKNOWN,1
JACKSON,BMW,X3,13
JACKSON,Hyundai,IONIQ Plug-in Hybrid,10
JACKSON,Porsche,Cayenne,2
JACKSON,AMIC,UNKNOWN,2
JACKSON,Polestar,2,1
JACKSON,Mercedes-Benz,C-Class,1
JACKSON,Hyundai,TUCSON Plug-in Hybrid,3
JACKSON,ZAPP,UNKNOWN,1
JACKSON,ZYTD,UNKNOWN,1
JACKSON,Kia,Sorento Plug-In Hybrid,7
JACKSON,Porsche,Taycan,6
JACKSON,Toyota,Prius Plug-in Hybrid,19
JACKSON,Kia,Optima Plug-In Hybrid,1
JACKSON,Chevrolet,Spark EV,24
JACKSON,BMW,iX,1
JACKSON,Ford,Escape Plug-In Hybrid,20
JACKSON,Volvo,XC60,5
